03-Aug-2026 15:28:58 | INFO    | Your Klayout version is: KLayout 0.30.9
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_sbump has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_pillar has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : passiv_pdl has 0 polygons
2026-08-03 15:29:13 +0200: Memory Usage (464848K) : metal2_drw has 32 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_filler has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_slit has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2 has 32 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_pin has 26 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_mask has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_nofill has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_text has 26 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_OPC has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_noqrc has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_res has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_iprobe has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal2_diffprb has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : baspoly_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : baspoly_pin has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : psd_drw has 5 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nldb_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : digibnd_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : via1_drw has 4146 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_pin has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_mask has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_filler has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_nofill has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_slit has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_text has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_OPC has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_noqrc has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_res has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_iprobe has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backmetal1_diffprb has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : backpassiv_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : res_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : sram_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : trans_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : ind_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : ind_pin has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : ind_text has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : salblock_drw has 1 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : via2_drw has 2614 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_drw has 8 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_filler has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_slit has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3 has 8 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_pin has 8 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_mask has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_nofill has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_text has 8 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_OPC has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_noqrc has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_res has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_iprobe has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : metal3_diffprb has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nwell_drw has 4 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nwell_pin has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nwell_text has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nbulay_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nbulay_pin has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : nbulay_block has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : emwind_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : emwind_OPC has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : deepco_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : mim_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : edgeseal_drw has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : substrate_drw has 3 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : substrate_text has 0 polygons
2026-08-03 15:29:14 +0200: Memory Usage (464848K) : dfpad_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : dfpad_pillar has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : dfpad_sbump has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : thickgateox_drw has 3 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : pldb_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : pwell_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : pwell_pin has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : pwell_block has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : ic_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : via3_drw has 2087 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_drw has 8 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_filler has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_slit has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4 has 8 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_pin has 8 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_mask has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_nofill has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_text has 8 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_OPC has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_noqrc has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_res has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_iprobe has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : metal4_diffprb has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : heattrans_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : heatres_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : fbe_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : empoly_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : digisub_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : text_drw has 30 polygons
2026-08-03 15:29:15 +0200: Memory Usage (464848K) : via4_drw has 2371 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_drw has 8 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_filler has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_slit has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5 has 8 polygons
